104	507	923	69	54
78	392	76	361	80
964	818	937	990	600
1079	617	716	993	459
697	460	1034	498	795
41	733	810	607	499
1060	157	821	13	895
586	805	617	731	599
1008	195	1009	125	145
367	522	992	651	575
811	600	445	758	487
292	728	471	558	197
58	170	1018	486	571
549	1018	468	539	415
47	236	1075	339	683
303	1077	215	275	1055
324	788	57	695	279
960	299	482	97	159
748	1021	337	590	862
307	867	219	195	447
902	903	252	734	972
706	497	327	449	399
142	291	419	527	1079
77	985	264	646	863
157	246	572	589	843
844	1049	370	1075	847
1041	338	675	81	115
396	803	94	281	184
902	608	398	11	963
1019	954	174	780	930
942	484	1071	672	131
442	342	5	19	367
481	702	477	718	16
568	501	598	462	261
155	969	363	380	446
673	213	412	461	767
1064	509	323	927	445
874	148	5	886	506
848	1000	1054	984	39
567	83	373	598	484
624	671	64	373	561
668	381	51	64	737
778	612	366	958	1051
20	889	1023	577	637
700	142	790	26	136
550	171	959	708	344
463	370	523	586	1
928	1026	834	565	1006
189	460	654	370	155
899	989	377	563	505
154	780	476	173	411
556	334	155	596	485
420	298	131	135	152
329	936	349	519	90
1044	824	301	500	479
439	45	855	802	864
204	479	263	160	921
11	759	349	692	961
121	407	233	1009	325
332	263	221	438	366
667	627	902	599	271
685	1021	225	431	981
881	917	895	1	895
489	842	348	882	355
994	1080	52	161	340
798	457	395	867	303
513	990	64	899	712
72	57	982	368	461
673	276	1014	1016	964
933	446	938	873	921
1047	1078	281	825	154
405	238	494	542	410
851	675	160	94	246
979	464	730	943	1029
910	66	448	901	810
986	932	656	879	870
417	416	331	537	111
521	365	483	16	743
164	273	539	712	154
1064	753	864	222	331
317	903	714	664	445
891	773	250	472	935
73	814	1016	609	133
786	30	517	1063	606
587	927	170	839	661
876	730	368	794	691
19	482	563	1060	909
585	46	811	100	1063
905	906	424	433	481
170	1062	188	125	189
40	726	1033	784	689
704	645	228	454	1045
973	520	871	310	166
1010	86	930	607	864
460	622	923	412	794
27	1080	173	461	356
875	777	541	646	248
948	687	56	981	482
293	975	79	621	127
300	241	384	406	144
419	395	990	26	1065
64	305	83	328	1066
701	165	641	340	1036
1055	778	938	1	944
155	756	174	732	402
283	22	735	174	396
31	477	449	292	367
593	181	668	304	57
1072	400	390	823	451
434	52	1036	835	890
705	438	483	268	421
645	521	828	283	212
518	549	65	346	721
942	1008	524	796	202
378	1078	850	321	563
818	946	109	699	135
756	1060	998	119	661
218	184	87	755	1026
259	505	485	476	728
71	740	52	43	794
161	67	390	449	696
777	971	116	707	955
1030	270	740	6	912
79	657	180	101	102
538	200	138	657	930
597	242	909	191	48
974	409	870	32	285
678	511	344	524	745
304	583	1080	956	712
805	498	629	281	110
1017	718	556	596	616
702	744	954	1021	1023
863	987	610	953	81
831	60	283	1012	941
479	1	859	1036	222
645	640	518	567	652
60	277	680	29	435
139	426	466	458	686
423	313	638	2	1035
915	560	905	210	676
331	470	623	222	576
423	640	474	985	1014
717	96	422	469	501
615	861	544	716	17
78	188	988	954	999
15	715	839	676	437
573	870	886	361	359
166	254	920	733	192
646	503	977	864	255
633	1069	165	385	1015
323	1032	926	202	601
508	424	676	702	495
787	289	814	873	983
281	642	340	123	728
681	413	174	520	495
1053	1006	768	6	284
1052	487	376	1034	394
661	182	378	727	131
970	524	397	366	626
305	734	328	612	62
536	327	847	97	1021
276	131	353	500	217
939	178	683	1037	749
145	968	69	584	610
501	98	841	502	23
820	468	507	606	154
831	1010	1022	449	297
145	629	199	460	112
1060	1037	438	43	919
303	176	710	275	559
357	436	725	810	814
152	451	382	905	513
632	962	940	184	52
826	463	755	587	254
839	984	11	408	691
576	669	1002	421	838
521	636	112	385	61
775	247	427	181	412
1014	250	221	206	299
466	654	640	285	767
1066	25	468	850	455
714	260	34	155	571
632	1057	70	883	913
381	961	16	795	358
1062	876	684	125	947
998	919	944	925	780
730	655	897	313	514
823	301	819	263	355
550	216	479	406	513
777	48	655	951	299
306	961	781	145	530
73	294	969	681	127
706	852	814	334	383
839	985	352	876	915
726	865	998	509	927
975	664	134	997	550
248	657	1062	60	91
66	418	620	79	114
473	221	91	745	35
589	260	458	1027	785
